folder,arc_score,facenet_score,avg_score,min_score,max_score,score_diff,is_match
ZA71,0.6581802368164062,0.370248407125473,0.5142143368721008,0.370248407125473,0.6581802368164062,0.2879318296909332,0
d89,0.21958673000335693,-0.06704793870449066,0.07626939564943314,-0.06704793870449066,0.21958673000335693,0.2866346836090088,1
d19,0.26095646619796753,0.5095874071121216,0.38527193665504456,0.26095646619796753,0.5095874071121216,0.24863094091415405,1
ZA76,0.39687997102737427,0.19387075304985046,0.29537534713745117,0.19387075304985046,0.39687997102737427,0.2030092179775238,0
ZA73,0.037816472351551056,0.003895951434969902,0.020856212824583054,0.003895951434969902,0.037816472351551056,0.033920519053936005,0
vdh,0.5365935564041138,0.48658299446105957,0.5115882754325867,0.48658299446105957,0.5365935564041138,0.0500105619430542,1
f115,0.5320186614990234,0.4277153015136719,0.47986698150634766,0.4277153015136719,0.5320186614990234,0.10430335998535156,1
ZA48,0.3920164108276367,0.5293331742286682,0.46067479252815247,0.3920164108276367,0.5293331742286682,0.1373167634010315,0
f50,0.40812450647354126,0.6666474342346191,0.5373859405517578,0.40812450647354126,0.6666474342346191,0.2585229277610779,1
rkr,0.6208876371383667,0.23832517862319946,0.4296064078807831,0.23832517862319946,0.6208876371383667,0.38256245851516724,1
ikh,0.17173007130622864,0.3457478880882263,0.25873899459838867,0.17173007130622864,0.3457478880882263,0.17401781678199768,1
abcc,0.22541633248329163,-0.029718507081270218,0.09784891456365585,-0.029718507081270218,0.22541633248329163,0.25513485074043274,1
viola,0.5326201915740967,0.2287725955247879,0.3806963860988617,0.2287725955247879,0.5326201915740967,0.30384761095046997,1
ZA72,0.25693953037261963,0.140473872423172,0.1987067013978958,0.140473872423172,0.25693953037261963,0.11646565794944763,0
jonabailey,0.39043909311294556,-0.01904493384063244,0.18569707870483398,-0.01904493384063244,0.39043909311294556,0.40948402881622314,1
jlaw,0.26560914516448975,0.055086664855480194,0.16034790873527527,0.055086664855480194,0.26560914516448975,0.21052247285842896,1
ZA87,0.13570815324783325,0.041238345205783844,0.08847324550151825,0.041238345205783844,0.13570815324783325,0.09446980804204941,0
abutler,0.2919712960720062,0.14668548107147217,0.2193283885717392,0.14668548107147217,0.2919712960720062,0.14528581500053406,1
d42,0.05642462521791458,0.3810186982154846,0.2187216579914093,0.05642462521791458,0.3810186982154846,0.32459408044815063,1
f67,0.7994697690010071,0.30207210779190063,0.5507709383964539,0.30207210779190063,0.7994697690010071,0.49739766120910645,1
ZA39,0.7497625350952148,0.4286903738975525,0.589226484298706,0.4286903738975525,0.7497625350952148,0.32107216119766235,0
mali,0.3797306716442108,0.5706211924552917,0.4751759171485901,0.3797306716442108,0.5706211924552917,0.19089052081108093,1
f68,0.38141578435897827,-0.02797224558889866,0.17672176659107208,-0.02797224558889866,0.38141578435897827,0.4093880355358124,1
f48,0.14702317118644714,0.615727961063385,0.3813755512237549,0.14702317118644714,0.615727961063385,0.46870478987693787,1
hardyy,0.4226052165031433,0.3814462423324585,0.4020257294178009,0.3814462423324585,0.4226052165031433,0.041158974170684814,1
f103,0.5419321060180664,0.27659884095191956,0.4092654585838318,0.27659884095191956,0.5419321060180664,0.26533326506614685,1
adamd,0.22877563536167145,0.08260157704353333,0.15568861365318298,0.08260157704353333,0.22877563536167145,0.14617405831813812,1
d3,0.12514375150203705,-0.054134469479322433,0.03550463914871216,-0.054134469479322433,0.12514375150203705,0.17927822470664978,1
tommy,0.24796493351459503,0.513569712638855,0.3807673156261444,0.24796493351459503,0.513569712638855,0.26560479402542114,1
sma,0.06507129222154617,-0.06519076973199844,-5.9738755226135254e-05,-0.06519076973199844,0.06507129222154617,0.13026206195354462,1
d86,0.48982328176498413,0.2808021903038025,0.3853127360343933,0.2808021903038025,0.48982328176498413,0.20902109146118164,1
f30,0.1704379916191101,0.3978791832923889,0.2841585874557495,0.1704379916191101,0.3978791832923889,0.2274411916732788,1
jonathanbailey,0.45053794980049133,-0.2072533369064331,0.12164230644702911,-0.2072533369064331,0.45053794980049133,0.657791256904602,1
ZA44,0.6833615303039551,0.7815225124359131,0.7324420213699341,0.6833615303039551,0.7815225124359131,0.09816098213195801,0
jdw,0.2732042074203491,0.3464844226837158,0.30984431505203247,0.2732042074203491,0.3464844226837158,0.0732802152633667,1
f98,0.3200652003288269,0.28387439250946045,0.3019697964191437,0.28387439250946045,0.3200652003288269,0.036190807819366455,1
pedro,0.16272103786468506,0.016557972878217697,0.08963950723409653,0.016557972878217697,0.16272103786468506,0.14616306126117706,1
d46,0.36363816261291504,0.23790015280246735,0.3007691502571106,0.23790015280246735,0.36363816261291504,0.1257380098104477,1
f34,0.47629237174987793,0.4873405694961548,0.48181647062301636,0.47629237174987793,0.4873405694961548,0.011048197746276855,1
f79,0.2664417624473572,0.5985953211784363,0.43251854181289673,0.2664417624473572,0.5985953211784363,0.3321535587310791,1
ZA14,0.3479994237422943,0.29866689443588257,0.32333314418792725,0.29866689443588257,0.3479994237422943,0.04933252930641174,0
d13,0.3681378662586212,0.46302300691604614,0.4155804514884949,0.3681378662586212,0.46302300691604614,0.09488514065742493,1
ZA11,0.4106552302837372,0.6255183219909668,0.5180867910385132,0.4106552302837372,0.6255183219909668,0.21486309170722961,0
sstan,0.4269326329231262,0.5759419202804565,0.5014373064041138,0.4269326329231262,0.5759419202804565,0.14900928735733032,1
d59,0.5249034762382507,0.23453716933727264,0.3797203302383423,0.23453716933727264,0.5249034762382507,0.2903662919998169,1
d73,0.7618657946586609,0.6540222764015198,0.7079440355300903,0.6540222764015198,0.7618657946586609,0.10784351825714111,1
d84,0.17464983463287354,-0.2520366907119751,-0.03869342803955078,-0.2520366907119751,0.17464983463287354,0.42668652534484863,1
d22,0.4331495761871338,0.49423539638519287,0.46369248628616333,0.4331495761871338,0.49423539638519287,0.06108582019805908,1
ZA61,0.5269455313682556,0.5747781991958618,0.5508618354797363,0.5269455313682556,0.5747781991958618,0.0478326678276062,0
ZA35,0.6777389049530029,0.5480325222015381,0.6128857135772705,0.5480325222015381,0.6777389049530029,0.12970638275146484,0
ZA59,0.41440069675445557,0.2075347900390625,0.31096774339675903,0.2075347900390625,0.41440069675445557,0.20686590671539307,0
ZA10,0.5528748035430908,0.4644787311553955,0.5086767673492432,0.4644787311553955,0.5528748035430908,0.08839607238769531,0
f21,0.04223249852657318,0.320806086063385,0.1815192997455597,0.04223249852657318,0.320806086063385,0.27857357263565063,1
mahershala,0.07477296888828278,0.39483076333999634,0.23480185866355896,0.07477296888828278,0.39483076333999634,0.32005780935287476,1
jacobe,0.15729200839996338,0.15019775927066803,0.1537448763847351,0.15019775927066803,0.15729200839996338,0.007094249129295349,1
ZA28,0.6752407550811768,0.5517694354057312,0.6135051250457764,0.5517694354057312,0.6752407550811768,0.12347131967544556,0
ZA79,0.3784227669239044,-0.04559531435370445,0.16641372442245483,-0.04559531435370445,0.3784227669239044,0.42401808500289917,0
srkk,0.10852952301502228,-0.04157286137342453,0.033478330820798874,-0.04157286137342453,0.10852952301502228,0.1501023769378662,1
oi,0.49062639474868774,0.6028494238853455,0.5467379093170166,0.49062639474868774,0.6028494238853455,0.11222302913665771,1
f81,0.3811657428741455,0.5780816078186035,0.4796236753463745,0.3811657428741455,0.5780816078186035,0.196915864944458,1
ayush,0.6307851672172546,0.7183603644371033,0.674572765827179,0.6307851672172546,0.7183603644371033,0.08757519721984863,1
f7,0.333298921585083,0.24729377031326294,0.290296345949173,0.24729377031326294,0.333298921585083,0.08600515127182007,1
d85,0.6693570613861084,0.9090728759765625,0.7892149686813354,0.6693570613861084,0.9090728759765625,0.2397158145904541,1
f31,0.4436669945716858,0.32195043563842773,0.38280871510505676,0.32195043563842773,0.4436669945716858,0.12171655893325806,1
d38,0.7360097765922546,0.6336772441864014,0.6848435401916504,0.6336772441864014,0.7360097765922546,0.10233253240585327,1
ZA55,0.3981058597564697,0.21447859704494476,0.30629223585128784,0.21447859704494476,0.3981058597564697,0.18362726271152496,0
ZA62,0.3440636098384857,0.5464214086532593,0.4452425241470337,0.3440636098384857,0.5464214086532593,0.20235779881477356,0
ZA54,0.7452459931373596,0.3553733229637146,0.5503096580505371,0.3553733229637146,0.7452459931373596,0.389872670173645,0
leoo,0.35166409611701965,0.2031310796737671,0.2773975729942322,0.2031310796737671,0.35166409611701965,0.14853301644325256,1
adil,0.10022620856761932,0.3627185821533203,0.23147240281105042,0.10022620856761932,0.3627185821533203,0.2624923586845398,1
d75,0.40280967950820923,0.6465003490447998,0.5246549844741821,0.40280967950820923,0.6465003490447998,0.24369066953659058,1
f62,0.418967068195343,0.7195528745651245,0.5692600011825562,0.418967068195343,0.7195528745651245,0.3005858063697815,1
devp,0.25120168924331665,0.6341625452041626,0.4426821172237396,0.25120168924331665,0.6341625452041626,0.38296085596084595,1
ewanmcgregor,0.3397764563560486,0.6313650012016296,0.4855707287788391,0.3397764563560486,0.6313650012016296,0.29158854484558105,1
f14,0.46904218196868896,0.023596186190843582,0.24631918966770172,0.023596186190843582,0.46904218196868896,0.4454459846019745,1
d29,0.07070685923099518,0.08249688893556595,0.07660187780857086,0.07070685923099518,0.08249688893556595,0.01179002970457077,1
d24,0.7027566432952881,0.4160589575767517,0.5594078302383423,0.4160589575767517,0.7027566432952881,0.2866976857185364,1
humaq,0.4606209993362427,0.04706230387091637,0.2538416385650635,0.04706230387091637,0.4606209993362427,0.413558691740036,1
hemsworth,0.5582478642463684,0.6203683614730835,0.5893081426620483,0.5582478642463684,0.6203683614730835,0.06212049722671509,1
d71,0.6933801174163818,0.6526495218276978,0.6730148196220398,0.6526495218276978,0.6933801174163818,0.04073059558868408,1
ikhatter,0.18134896457195282,0.5198633670806885,0.35060617327690125,0.18134896457195282,0.5198633670806885,0.33851438760757446,1
holland,0.44479990005493164,0.20351380109786987,0.32415685057640076,0.20351380109786987,0.44479990005493164,0.24128609895706177,1
benmen,0.29564642906188965,0.5381065011024475,0.4168764650821686,0.29564642906188965,0.5381065011024475,0.24246007204055786,1
f74,0.1707015335559845,0.5355674028396606,0.3531344532966614,0.1707015335559845,0.5355674028396606,0.36486586928367615,1
jamesmcavoy,0.33676183223724365,-0.026017535477876663,0.15537214279174805,-0.026017535477876663,0.33676183223724365,0.3627793788909912,1
ZA38,0.6694787740707397,0.18182557821273804,0.4256521761417389,0.18182557821273804,0.6694787740707397,0.4876531958580017,0
ZA22,0.6203189492225647,0.47212570905685425,0.5462223291397095,0.47212570905685425,0.6203189492225647,0.14819324016571045,0
barry,0.24501702189445496,0.5672663450241089,0.4061416983604431,0.24501702189445496,0.5672663450241089,0.32224932312965393,1
ZA69,0.15600767731666565,0.13073612749576569,0.14337190985679626,0.13073612749576569,0.15600767731666565,0.025271549820899963,0
d20,0.7850693464279175,0.6713724136352539,0.7282208800315857,0.6713724136352539,0.7850693464279175,0.11369693279266357,1
